platform,angle,primary_text_or_intro,headline,description
meta,A,"The message came at 11pm. You saw it at 8am. They bought somewhere else.

MiniMe reads every message your shop gets on Telegram and writes the reply for you. You just tap send. Unlimited. Free.",They Messaged at 11pm,Free. No card.
meta,A,"How many customers did you lose last night?

Not to a better price. To an unread message.

MiniMe reads your Telegram chats and writes every reply for you - you tap send. Free, unlimited, no card needed.",Stop Losing Sales to Unread DMs,Start free
meta,A,"You closed the shop. Your Telegram didn't.

Every ""is this available?"" that lands after 8pm is a sale waiting on you. MiniMe writes the answer the moment it arrives. You tap send in the morning.",Your Shop Closes. Telegram Doesn't.,Free forever
meta,B,"Every customer gets an answer. Even the one who messaged at 2am asking about a price.

MiniMe writes the reply for every message your Telegram shop gets - unlimited, on the free plan, forever.","Every Customer, Answered",Unlimited. Free.
meta,B,"Unlimited replies. Zero birr.

MiniMe answers every customer who messages your Telegram shop - about price, stock, delivery, hours. You approve each one with a tap.","Unlimited Replies, 0 ETB",No card needed
meta,C,"You already sell on Telegram. You just do all the typing.

MiniMe learns your products and prices, then writes every reply for you. Same shop, same chats, same customers - you just stop repeating yourself.",Built for Telegram Shops,Start in minutes
meta,C,"""Is it available?"" ""Do you deliver?"" ""How much?""

You answer the same three questions fifty times a day. MiniMe answers them for you, in your shop's own words, from your own bot.",Stop Typing the Same 3 Answers,Free to start
meta,D,"Free plans usually mean 50 messages and then a wall.

Not this one. MiniMe writes every reply your shop needs - unlimited, forever, no card. Paying only removes the tap-to-send step.",The Free Plan Has No Message Limit,Really. No card.
meta,D,"What's the catch?

There isn't one on replies. MiniMe writes every customer reply free and unlimited, forever. Pro (1,999 ETB/mo) just lets him send them himself while you sleep.",No Card. No Message Limit.,See what's free
meta,E,"It reads the chat. It writes the reply. You tap send.

That's the whole thing. MiniMe knows your products, your prices and your hours, so the answer is already written before you pick up the phone.",It Writes. You Tap Send.,Try it free
meta,E,"Add your products once. MiniMe handles the answering.

Price, stock, delivery, opening hours - he replies from your own Telegram bot, in your shop's voice, and waits for your tap before anything sends.",Your Bot. Your Words. Your Prices.,Free to set up
meta,F,"Your shop is invisible to everyone who isn't already in your group.

MiniMe lists you on MiniMe Search, where buyers search for what you sell - from any Telegram chat. Listing is free and permanent.",Get Found on MiniMe Search,Free listing
meta,F,"Someone in Addis is searching for exactly what you stock right now. They can't find you.

A free MiniMe listing puts your shop in front of them the moment they search.",They're Searching. You're Not Listed.,List free
meta,B,"Serving a walk-in customer while three people wait in your DMs?

MiniMe writes all three replies while you finish the sale in front of you. Free, unlimited, from your own Telegram bot.",Serve the Room. He Handles the DMs.,Start free
meta,A,"Sunday. Your phone buzzes 40 times. None of it can wait until Monday, and none of it is urgent enough to ruin your day off.

MiniMe writes every reply while you're away.",Take Sunday Off Your Phone,Free forever
linkedin,C,"Small shops run whole businesses inside Telegram - orders, prices, delivery, all typed by hand. MiniMe writes those replies for them.",The AI assistant for businesses that sell in Telegram DMs,"Free, unlimited customer replies from your own bot. No card required."
linkedin,E,The bottleneck isn't demand. It's that one person types every answer. MiniMe learns your catalogue and drafts every reply for approval.,"Your shop's replies, written before you open the app","Add your products once. MiniMe answers price, stock and delivery questions."
linkedin,B,"A reply that lands next morning is a sale someone else made overnight. MiniMe answers every message your Telegram shop gets, free.","Every customer message answered, including the 2am one","Unlimited replies free. Pro adds autonomous sending, 1,999 ETB/mo."
linkedin,D,"We gate autonomy, not access. Every shop gets unlimited AI-written replies free, forever. Paying just means MiniMe sends them himself.","Free means unlimited here, not a 50-message trial","Start free, no card. One month of full Pro access included."
linkedin,F,Discovery is the hard problem for a shop whose storefront is a Telegram group. MiniMe Search lets buyers find you from inside any chat.,Get your shop found by buyers already searching Telegram,"A permanent, free listing on MiniMe Search. Pro ranks above free shops."
tiktok,A,Your customer messaged at 2am. MiniMe already wrote the reply.,,Free - unlimited replies
tiktok,E,POV: you add your products once and never type a price again.,,He writes it. You tap send.
tiktok,C,Every shop owner types these 3 answers 50 times a day.,,Answered automatically
tiktok,A,14 unread. Every one of them was ready to buy.,,MiniMe - free plan
tiktok,D,Free plan. No message limit. I checked twice.,,No card required
tiktok,B,Serving a customer in the shop while 3 more wait in your DMs.,,"Both customers, kept"
tiktok,F,Someone is searching for what you sell. Your shop isn't listed.,,Free listing
tiktok,A,Sunday off. Phone in a drawer. Shop still answering.,,Replies written while you're gone
